,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-22,@,BOS,L,109,132,,43,78,.551,11,30,.367,32,48,.667,.622,12,16,.750,5,29,34,20,2,3,12,12,48,95,.505,29,61,.475,19,34,.559,.658,7,8,.875,11,29,40,33,6,3,4,15
2,2,2024-10-25,,IND,W,123,98,,44,84,.524,12,27,.444,32,57,.561,.595,23,29,.793,11,32,43,19,5,4,12,18,41,83,.494,3,30,.100,38,53,.717,.512,13,20,.650,9,24,33,28,8,6,16,24
3,3,2024-10-28,,CLE,L,104,110,,40,90,.444,9,28,.321,31,62,.500,.494,15,18,.833,13,30,43,22,8,3,16,21,39,82,.476,12,36,.333,27,46,.587,.549,20,24,.833,9,32,41,21,10,5,14,20
4,4,2024-10-30,@,MIA,W,116,107,,40,82,.488,18,40,.450,22,42,.524,.598,18,20,.900,7,35,42,30,8,4,11,16,37,81,.457,17,40,.425,20,41,.488,.562,16,24,.667,7,32,39,27,6,3,10,17
5,5,2024-11-01,@,DET,W,128,98,,52,101,.515,18,38,.474,34,63,.540,.604,6,10,.600,12,33,45,31,16,3,10,14,41,81,.506,11,34,.324,30,47,.638,.574,5,7,.714,6,32,38,23,6,9,22,12
6,6,2024-11-04,@,HOU,L,97,109,,34,88,.386,11,28,.393,23,60,.383,.449,18,21,.857,13,26,39,20,6,4,10,18,43,88,.489,8,33,.242,35,55,.636,.534,15,18,.833,11,39,50,21,4,6,11,20
7,7,2024-11-06,@,ATL,L,116,121,,41,84,.488,22,47,.468,19,37,.514,.619,12,15,.800,7,34,41,29,5,5,16,18,45,100,.450,15,38,.395,30,62,.484,.525,16,22,.727,16,32,48,31,12,4,8,14
8,8,2024-11-08,,MIL,W,116,94,,43,91,.473,14,46,.304,29,45,.644,.549,16,19,.842,14,34,48,35,7,3,11,20,36,83,.434,7,30,.233,29,53,.547,.476,15,23,.652,11,30,41,20,1,5,12,16
9,9,2024-11-10,@,IND,L,121,132,,46,83,.554,7,25,.280,39,58,.672,.596,22,27,.815,8,31,39,23,5,3,14,20,45,88,.511,21,46,.457,24,42,.571,.631,21,25,.840,5,27,32,27,6,4,10,22
